ID,Title,Location,Salary,Summary
job_3a08b30ab659e141,Market Development Manager,,,"Optimistically focus on continual growth over a longer- term horizon • Bias for Action: Have a bias for action, prioritizing..."
job_02d567528eda2a59,Commercial Excellence Manager,,,vulnerabilities to close strategic and business gaps. Develop long- term strategy for key commercial markets and strong...
job_3da7f9b08764f8e9,"CIB - Corporate Sales Associate, Seoul - Korea",,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_2f8cc07caee255a5,"Director, Acquisition Marketing, HBO Max",,,"execute acquisition campaigns, as well as balance longer- term strategic thinking... role will drive the analyses..."
job_19ec0e2fc12486ff,TPE Specialist,,,time position. Only consultation... asked. The contract term... 1 year. Candidates... only asked to stay...
job_739338dfd8dd9016,Aesop Busan - Store Manager,,,Discuss career goals with manager and agree to plan for long term career development which will build experience and skills...
job_257c84c487f0eaf4,Global Account Director for Hyundai Motors Group,,,"clients digital strategy Develop Long- Term Strategic Client Engagement, Big Rock... Develops long term c-level relationships..."
job_53308ae6ce2b29ef,"Business Development Manager, Gaming - Amazon Web Services,...",,,"Korea. You will identify short- term growth opportunities and lay the groundwork for long- term, strategic opportunities. Our..."
job_c895ed610aa7cfd3,Account Executive (APAC),,,your region. You... charge of building long- term partnerships with key decision makers at large publishing companies...
job_c7c958476e15e714,Account Management Executive,,,"key role in creating long- term, trusting... client relationships to achieve long- term partnership and improve existing account..."
job_17c3c3bd90843c98,Aesop Busan - Senior Retail Consultant,,,"Behaviour: Goes beyond what is expected, considers the longer term impact of decisions and actions Takes accountability..."
job_8ed386ece27e60d5,"Financial Planning&Analysis, Associate",,,"gu, Seoul, Korea Key Responsibilities: • Develop long term business plan, yearly business plan and 3months rolling forecast..."
job_971d6ce88fa625e0,Sales Year-Round Internship (Rolling Basis),,,leading brands? Are you intrigued... idea of building long- term business relationships with our customers? Would you like...
job_9ef52106850ad045,Jr. Clinical Marketing Manager,,,actively invest in our team members to support... long- term growth so they can continue to advance our mission and achieve...
job_0c53e492366f3a71,Growth Lead,,,focus... growing Gather internationally. The near- term objective... expand our presence in Korea and additional...
job_01d11117dd2c8132,Senior Category Manager – Hair Care,,,Contribute to Group... mid-to-long term brand development and future NPD... create mid-to-long term growth plans...
